shop_name,phone_number,category,subcategory,sub_subcategory,city,location
Garage Mahmoud El Masry,70-858343,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Hariri Car Audio And DVD System,03-761946,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Tareek El Jadideh
Hateco - Abdeh,06-471370,Vehicles & Transport , Automotive Accessories,,North Governorate,Miniyeh-Danniyeh District
Institution Abou Adnan Taleb,70-132120,Vehicles & Transport , Automotive Accessories,,South Governorate,Sidon District
Mawass Cars Accessories,03-908985,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Mou3ayntak,71-050068,Services ," Translation, proofreading and completion of transactions",,North Governorate,City of Tripoli
Mounir Halawani Stores,70-464626,Vehicles & Transport , Tires & Car Spare Parts,,North Governorate,City of Tripoli
Nabil Al Mohajer & Sons Shops,76-165158,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Omar Marabania Accessories,06-388802,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
RedLine Center,70-907977,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Daoura
Sam accessories daouk,81-718087,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Corniche Al Mazraa
Shatah for car glass,03-289248,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Shehade,78-880070,Vehicles & Transport , Automotive Accessories,,South Governorate,Sidon District
Special Detail,76-949227,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Aley District
Subaru,81-238090,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Metn District
Talib Brothers & Partners Est,03-808881,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Raoucheh
Topcar Plates,03-633372,Vehicles & Transport , Automotive Accessories,,Lebanon,All cities
Tristar Est,03-830975,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Borj Hammoud
Vinyl Design By Fouad Aghar,71-329266,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Aley District
Waiwai Stores,71-308848,Shopping , Online Shop,,Lebanon,All cities
Walid Al Masri,06-215592,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Xtreme 4x4 - Nahr El Mott,03-590757,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Metn District
Xtreme 4x4 - Zaarour,03-590757,Vehicles & Transport , Automotive Accessories,,Beirut & Mount Lebanon,Metn District
Zarzour Workshop‎,03-768873,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Al Ali Shops For Cars Scrap &  Accessories,03-510990,Vehicles & Transport , Automotive Accessories,,Governorate of Akkar,Halba
Al Dinnawi Stores,03-543660,Vehicles & Transport , Tires & Car Spare Parts,,North Governorate,City of Tripoli
Allo Doulab - Araya,03-044008,Vehicles & Transport , Tires & Car Spare Parts,,Beirut & Mount Lebanon,Baabda District
Allo Doulab - Mansourieh,04-532610,Vehicles & Transport , Tires & Car Spare Parts,,Beirut & Mount Lebanon,Metn District
Dabbousi Center ,03-206955,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Haitham Ashlan,70-413850,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
Hatoum,76-484749,Vehicles & Transport , Tires & Car Spare Parts,,Beirut & Mount Lebanon,Chouf District
Taleb,03-553760,Vehicles & Transport , Automotive Accessories,,North Governorate,City of Tripoli
A To Z,70-945423,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Tareek El Jadideh
Abo Hussein Mechanics,71-744958,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Abou Bassam,03-491876,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Abou Hamdan Auto Center,03-960922,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Ahmed Rasheed Garage And Cafe,03-095417,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Chouf District
Al Abbout Stores,71-697674,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Al Dahia Electronic Balance Tormos,03-404717,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,Beirut & Mount Lebanon,Southern Suburbs
Al Kassem Electricity,03-504988,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Al Laham Station,03-570064,Services , Fuel & Sell & Change Oil,,Beirut & Mount Lebanon,Msaytbeh
Al Rabei Institution,76-408429,Vehicles & Transport , Tires & Car Spare Parts,,North Governorate,City of Tripoli
AL Yassirov Foundation for Industry Trade and Investment,70-837846,Vehicles & Transport , Tires & Car Spare Parts,,Beirut & Mount Lebanon,Tareek El Jadideh
Al Zein Electricity,03-919455,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
Ali Eter,03-823975,Vehicles & Transport , Car Maintenance , Upholstery - Bodywork & Paint,North Governorate,City of Tripoli
Ardati Electrics,03-509799,Vehicles & Transport , Car Maintenance , Cars Mechanics & Electrical Technicians,North Governorate,City of Tripoli
